"","key","star_name","planet_letter","discovery_method","pl_pnum","orbital_period","orbital_eccentricity","star_temp","star_radius","planet_temp","radius","discovery_year","light_years"
"130","GJ 433_b","GJ 433","b","Radial Velocity",1,7.3709,0.08,3600,NA,NA,NA,2011,29.4845024
"131","GJ 436_b","GJ 436","b","Radial Velocity",1,2.64388312,0.13827,NA,0.46,NA,4.17,2004,33.3657588
"132","GJ 504_b","GJ 504","b","Imaging",1,NA,NA,6234,NA,510,NA,2013,58.545002
"133","GJ 536_b","GJ 536","b","Radial Velocity",1,8.7076,0.08,3685,0.5,NA,NA,2016,32.7134468
"134","GJ 581_b","GJ 581","b","Radial Velocity",3,5.3686,0,NA,0.29,NA,NA,2005,20.4499812
"135","GJ 581_c","GJ 581","c","Radial Velocity",3,12.914,0,NA,0.29,NA,NA,2007,20.4499812
"136","GJ 581_e","GJ 581","e","Radial Velocity",3,3.149,0,NA,0.29,NA,NA,2009,20.4499812
"137","GJ 625_b","GJ 625","b","Radial Velocity",1,14.628,0.13,3499,0.31,NA,NA,2017,21.1675244
"138","GJ 649_b","GJ 649","b","Radial Velocity",1,598.3,0.3,3700,NA,NA,NA,2009,33.6592992
"139","GJ 667 C_b","GJ 667 C","b","Radial Velocity",5,7.2004,0.13,3350,NA,NA,NA,2011,22.178608
"140","GJ 667 C_c","GJ 667 C","c","Radial Velocity",5,28.14,0.02,3350,NA,NA,NA,2011,22.178608
"141","GJ 667 C_e","GJ 667 C","e","Radial Velocity",5,62.24,0.02,3350,NA,NA,NA,2013,22.178608
"142","GJ 667 C_f","GJ 667 C","f","Radial Velocity",5,39.026,0.03,3350,NA,NA,NA,2013,22.178608
"143","GJ 667 C_g","GJ 667 C","g","Radial Velocity",5,256.2,0.08,3350,NA,NA,NA,2013,22.178608
"144","GJ 674_b","GJ 674","b","Radial Velocity",1,4.6938,0.2,3600,NA,NA,NA,2007,14.8074824
"145","GJ 676 A_b","GJ 676 A","b","Radial Velocity",4,1051.1,0.323,NA,NA,NA,NA,2010,55.120364
"146","GJ 676 A_c","GJ 676 A","c","Radial Velocity",4,7337,NA,NA,NA,NA,NA,2016,55.120364
"147","GJ 676 A_d","GJ 676 A","d","Radial Velocity",4,3.6005,0.262,NA,NA,NA,NA,2012,55.120364
"148","GJ 676 A_e","GJ 676 A","e","Radial Velocity",4,35.39,0.125,NA,NA,NA,NA,2012,55.120364
"149","GJ 687_b","GJ 687","b","Radial Velocity",1,38.14,0.04,3413,0.42,NA,NA,2014,14.7748668
"150","GJ 832_b","GJ 832","b","Radial Velocity",2,3657,0.08,3472,NA,NA,NA,2008,16.1121064
"151","GJ 832_c","GJ 832","c","Radial Velocity",2,35.68,0.18,3472,NA,NA,NA,2014,16.1121064
"152","GJ 849_b","GJ 849","b","Radial Velocity",1,1845,0.05,NA,NA,NA,NA,2006,28.6038812
"153","GJ 86_b","GJ 86","b","Radial Velocity",1,15.76491,0.0416,5151,NA,NA,NA,1999,35.5836196
"154","GJ 876_b","GJ 876","b","Radial Velocity",4,61.1166,0.0324,NA,0.3,NA,NA,1998,15.329332
"155","GJ 876_c","GJ 876","c","Radial Velocity",4,30.0881,0.25591,NA,0.3,NA,NA,2000,15.329332
"156","GJ 876_d","GJ 876","d","Radial Velocity",4,1.93778,0.207,NA,0.3,NA,NA,2005,15.329332
"157","GJ 876_e","GJ 876","e","Radial Velocity",4,124.26,0.055,NA,0.3,NA,NA,2010,15.329332
"158","GJ 9827_b","GJ 9827","b","Transit",3,1.208957,NA,4255,0.65,1044,1.75,2017,98.825268
"159","GJ 9827_c","GJ 9827","c","Transit",3,3.64802,NA,4255,0.65,722,1.36,2017,98.825268
"160","GJ 9827_d","GJ 9827","d","Transit",3,6.20141,NA,4255,0.65,605,2.1,2017,98.825268
"161","GQ Lup_b","GQ Lup","b","Imaging",1,NA,NA,NA,NA,2650,33.6,2004,453.35684
"162","GSC 06214-00210_b","GSC 06214-00210","b","Imaging",1,NA,NA,4200,NA,2300,NA,2010,472.9262
"163","GU Psc_b","GU Psc","b","Imaging",1,NA,NA,NA,NA,1050,14.179,2014,156.55488
"164","HAT-P-1_b","HAT-P-1","b","Transit",1,4.46529976,NA,5980,1.17,1322,14.785,2006,453.35684
"165","HAT-P-11_b","HAT-P-11","b","Transit",1,4.8878162,0.198,4780,0.75,878,4.73,2008,123.93928
"166","HAT-P-12_b","HAT-P-12","b","Transit",1,3.2130598,0,4650,0.7,963,10.749,2009,464.7723
"167","HAT-P-13_b","HAT-P-13","b","Transit",2,2.91625,0.0133,5653,1.56,NA,14.258,2009,697.97384
"168","HAT-P-13_c","HAT-P-13","c","Radial Velocity",2,446.27,0.6616,5653,1.56,NA,NA,2009,697.97384
"169","HAT-P-14_b","HAT-P-14","b","Transit",1,4.627669,0.107,6600,1.47,1570,12.89,2010,668.6198
"170","HAT-P-15_b","HAT-P-15","b","Transit",1,10.863502,0.19,5568,1.08,904,12.016,2010,619.6964
"171","HAT-P-16_b","HAT-P-16","b","Transit",1,2.77596,0.036,6158,1.24,1626,14.448,2010,766.4666
"172","HAT-P-17_b","HAT-P-17","b","Transit",2,10.338523,0.342,5246,0.84,792,11.321,2010,293.5404
"173","HAT-P-17_c","HAT-P-17","c","Radial Velocity",2,5584,0.39,5246,0.84,NA,NA,2010,293.5404
"174","HAT-P-18_b","HAT-P-18","b","Transit",1,5.508023,0.084,4803,0.75,852,11.153,2010,541.41896
"175","HAT-P-19_b","HAT-P-19","b","Transit",1,4.008778,0.067,4990,0.82,1010,12.689,2010,701.2354
"176","HAT-P-2_b","HAT-P-2","b","Transit",1,5.6334729,0.5171,6290,1.64,1540,12.969,2007,441.3542992
"177","HAT-P-20_b","HAT-P-20","b","Transit",1,2.875317,0.015,4595,0.69,970,9.718,2010,228.3092
"178","HAT-P-21_b","HAT-P-21","b","Transit",1,4.124481,0.228,5588,1.1,1283,11.478,2010,828.43624
"179","HAT-P-22_b","HAT-P-22","b","Transit",1,3.21222,0.016,5302,1.04,1283,12.106,2010,267.44792
"180","HAT-P-23_b","HAT-P-23","b","Transit",1,1.21288287,0,5885,1.09,1951,13.72,2010,1281.79308
"181","HAT-P-24_b","HAT-P-24","b","Transit",1,3.35524,0.067,6373,1.32,1637,13.922,2010,1291.57776
"182","HAT-P-25_b","HAT-P-25","b","Transit",1,3.652836,0.032,5500,0.96,1202,13.339,2010,968.68332
"183","HAT-P-26_b","HAT-P-26","b","Transit",1,4.234516,0.124,5079,0.79,1001,6.333,2010,437.04904
"184","HAT-P-27_b","HAT-P-27","b","Transit",1,3.039577,0,5300,0.9,NA,11.43,2011,665.35824
"185","HAT-P-28_b","HAT-P-28","b","Transit",1,3.257215,0.051,5680,1.1,1384,13.585,2011,1288.3162
"186","HAT-P-29_b","HAT-P-29","b","Transit",1,5.723186,0.095,6087,1.22,1260,12.408,2011,1050.22232
"187","HAT-P-3_b","HAT-P-3","b","Transit",1,2.899736,0,5185,0.8,NA,9.27,2007,450.09528
"188","HAT-P-30_b","HAT-P-30","b","Transit",1,2.810595,0.035,6304,1.22,1630,15.02,2011,629.48108
"189","HAT-P-31_b","HAT-P-31","b","Transit",1,5.005425,0.245,6065,1.36,1450,11.99,2011,1154.59224
"190","HAT-P-32_b","HAT-P-32","b","Transit",1,2.15000805,0.0072,6269,1.22,NA,20.053,2011,923.02148
"191","HAT-P-33_b","HAT-P-33","b","Transit",1,3.474474,0,6446,1.64,1782,18.898,2011,1262.22372
"192","HAT-P-34_b","HAT-P-34","b","Transit",1,5.452654,0.441,6442,1.53,1520,13.417,2011,838.22092
"193","HAT-P-35_b","HAT-P-35","b","Transit",1,3.646706,0.025,6096,1.44,1581,14.93,2011,1744.9346
"194","HAT-P-36_b","HAT-P-36","b","Transit",1,1.327347,0.063,5560,1.1,1823,14.168,2011,1033.91452
"195","HAT-P-37_b","HAT-P-37","b","Transit",1,2.797436,0.058,5500,0.88,1271,13.204,2011,1340.50116
"196","HAT-P-38_b","HAT-P-38","b","Transit",1,4.640382,0.067,5330,0.92,1082,9.247,2012,812.12844
"197","HAT-P-39_b","HAT-P-39","b","Transit",1,3.54387,0,6430,1.62,1752,17.609,2012,2093.92152
"198","HAT-P-4_b","HAT-P-4","b","Transit",1,3.056536,0,5860,1.6,1686,14.28,2007,1024.12984
"199","HAT-P-40_b","HAT-P-40","b","Transit",1,4.457243,0,6080,2.21,1770,19.392,2012,1634.04156
"200","HAT-P-41_b","HAT-P-41","b","Transit",1,2.694047,0,6390,1.68,1941,18.887,2012,1121.97664
"201","HAT-P-42_b","HAT-P-42","b","Transit",1,4.641878,0,5743,1.53,1428,14.348,2012,1457.91732
"202","HAT-P-43_b","HAT-P-43","b","Transit",1,3.332687,0,5645,1.1,1361,14.359,2012,1767.76552
"203","HAT-P-44_b","HAT-P-44","b","Transit",2,4.301219,0.044,5295,0.95,1108,13.922,2014,1183.94628
"204","HAT-P-44_c","HAT-P-44","c","Radial Velocity",2,872.2,0.494,5295,0.95,NA,NA,2014,1183.94628
"205","HAT-P-45_b","HAT-P-45","b","Transit",1,3.128992,0.049,6330,1.32,1652,15.984,2014,994.7758
"206","HAT-P-46_b","HAT-P-46","b","Transit",1,4.463129,0.123,6120,1.4,1458,14.392,2014,965.42176
"207","HAT-P-49_b","HAT-P-49","b","Transit",1,2.691548,0,6820,1.83,2131,15.838,2014,1050.22232
"208","HAT-P-5_b","HAT-P-5","b","Transit",1,2.788491,0,5960,1.17,NA,14.12,2007,1108.9304
"209","HAT-P-50_b","HAT-P-50","b","Transit",1,3.1220109,0.115,6280,1.7,1862,14.437,2015,1620.99532
"210","HAT-P-51_b","HAT-P-51","b","Transit",1,4.2180278,0.123,5449,1.04,1192,14.493,2015,1532.9332
"211","HAT-P-52_b","HAT-P-52","b","Transit",1,2.7535953,0.047,5131,0.89,1218,11.31,2015,1255.7006
"212","HAT-P-53_b","HAT-P-53","b","Transit",1,1.9616241,0.134,5956,1.21,1778,14.773,2015,2345.06164
"213","HAT-P-54_b","HAT-P-54","b","Transit",1,3.799847,0.074,4390,0.62,818,10.581,2015,NA
"214","HAT-P-55_b","HAT-P-55","b","Transit",1,3.5852467,0.139,5808,1.01,1313,13.249,2015,1565.5488
"215","HAT-P-56_b","HAT-P-56","b","Transit",1,2.7908327,0.246,6566,1.43,1840,16.432,2015,1012.71438
"216","HAT-P-57_b","HAT-P-57","b","Transit",1,2.465295,0,7500,1.5,2200,15.838,2015,988.25268
"217","HAT-P-6_b","HAT-P-6","b","Transit",1,3.852985,0,6570,1.46,NA,14.908,2007,851.26716
"218","HAT-P-65_b","HAT-P-65","b","Transit",1,2.6054552,0.304,5835,1.86,1930,21.185,2016,2742.97196
"219","HAT-P-66_b","HAT-P-66","b","Transit",1,2.972086,0.09,6002,1.88,1896,17.822,2016,3023.46612
"220","HAT-P-67_b","HAT-P-67","b","Transit",1,4.8101025,0,6406,2.55,1903,23.371,2017,1043.6992
"221","HAT-P-7_b","HAT-P-7","b","Transit",1,2.2047372,0.0016,6441,1.84,2700,16.713,2008,1043.6992
"222","HAT-P-8_b","HAT-P-8","b","Transit",1,3.0763776,0,6200,1.58,1700,16.81,2008,750.1588
"223","HAT-P-9_b","HAT-P-9","b","Transit",1,3.92289,0,6350,1.32,1530,15.69,2008,1565.5488
"224","HATS-1_b","HATS-1","b","Transit",1,3.446459,0.12,5870,1.04,1359,14.594,2012,988.25268
"225","HATS-10_b","HATS-10","b","Transit",1,3.312846,0.501,5880,1.1,1407,10.862,2015,1617.73376
"226","HATS-11_b","HATS-11","b","Transit",1,3.6191634,NA,6060,1.44,NA,16.668,2016,NA
"227","HATS-12_b","HATS-12","b","Transit",1,3.1428347,NA,6408,2.21,NA,15.513,2016,NA
"228","HATS-13_b","HATS-13","b","Transit",1,3.0440499,0.181,5523,0.89,1244,13.585,2015,1552.50256
"229","HATS-14_b","HATS-14","b","Transit",1,2.7667641,0.142,5346,0.93,1276,11.646,2015,1673.18028
